ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1685396	0.7587	8.37e-02	1.9109232	-4.44231	0.15472675		
ILMN_1830153	0.7587	8.38e-02	-1.9109038	-4.44234	-0.16486057	LINC00446	long intergenic non-protein coding RNA 446
ILMN_1748844	0.7587	8.38e-02	1.9108639	-4.4424	0.26370511	CNKSR3	CNKSR family member 3
ILMN_1656662	0.7587	8.38e-02	-1.9108392	-4.44243	-0.17917209		
ILMN_1890877	0.7587	8.38e-02	-1.9106689	-4.44268	-0.179872		
ILMN_2358801	0.7587	8.38e-02	1.9106238	-4.44274	0.29554835	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5
ILMN_1729980	0.7587	8.38e-02	1.910323	-4.44318	0.24621122	RNF216	ring finger protein 216
ILMN_1727065	0.7587	8.38e-02	1.910271	-4.44325	0.19112267		
ILMN_1661776	0.7587	8.38e-02	-1.9102503	-4.44328	-0.27307403	CENPJ	centromere protein J
ILMN_1776275	0.7587	8.39e-02	-1.9099433	-4.44372	-0.18924282		
ILMN_1745946	0.7587	8.39e-02	-1.9097408	-4.44401	-0.18132671	HAUS1	HAUS augmin like complex subunit 1
ILMN_1831320	0.7587	8.40e-02	1.909336	-4.4446	0.19537179	LOC101926944	uncharacterized LOC101926944
ILMN_1651279	0.7587	8.40e-02	1.9092951	-4.44466	0.16373877		
ILMN_1813230	0.7587	8.40e-02	1.9092948	-4.44466	0.19374222	WSCD2	WSC domain containing 2
ILMN_1779778	0.7587	8.40e-02	1.9092934	-4.44466	0.16569186	PRR19	proline rich 19
ILMN_1661777	0.7587	8.40e-02	-1.9092291	-4.44475	-0.26440383	NR3C2	nuclear receptor subfamily 3 group C member 2
ILMN_1896149	0.7587	8.40e-02	1.9090898	-4.44495	0.22740144	ENO1-AS1	ENO1 antisense RNA 1
ILMN_1706590	0.7587	8.40e-02	1.9090815	-4.44496	0.14689417	MLLT1	MLLT1, super elongation complex subunit
ILMN_1708588	0.7587	8.40e-02	1.9089947	-4.44509	0.16076118	ADCY5	adenylate cyclase 5
ILMN_1803801	0.7587	8.40e-02	-1.908902	-4.44522	-0.18305947	LRRC38	leucine rich repeat containing 38
ILMN_1658152	0.7587	8.40e-02	1.9087971	-4.44537	0.21181047	MAP3K10	mitogen-activated protein kinase kinase kinase 10
ILMN_2209088	0.7587	8.41e-02	-1.9085934	-4.44567	-0.15431073	KRTAP9-4	keratin associated protein 9-4
ILMN_2139167	0.7587	8.41e-02	1.9085524	-4.44572	0.15979583	UNCX	UNC homeobox
ILMN_1658247	0.7587	8.41e-02	-1.9085086	-4.44579	-0.26833468	OAS1	2'-5'-oligoadenylate synthetase 1
ILMN_1659497	0.7587	8.41e-02	1.9083907	-4.44596	0.15602149		
ILMN_1669506	0.7587	8.41e-02	-1.908318	-4.44606	-0.16486942	ZNF229	zinc finger protein 229
ILMN_2140910	0.7587	8.41e-02	1.9083149	-4.44607	0.16391062	OR5P3	olfactory receptor family 5 subfamily P member 3
ILMN_1851870	0.7587	8.41e-02	1.9082946	-4.4461	0.16240951		
ILMN_1758412	0.7587	8.41e-02	1.9081983	-4.44623	0.19949427	COPS7A	COP9 signalosome subunit 7A
ILMN_1858924	0.7587	8.41e-02	1.9081715	-4.44627	0.1539984		
ILMN_1844691	0.7587	8.42e-02	-1.9079358	-4.44661	-0.16457574	STXBP5L	syntaxin binding protein 5 like
ILMN_1670901	0.7587	8.42e-02	1.9077939	-4.44682	0.15996553	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor
ILMN_1786789	0.7587	8.42e-02	-1.907688	-4.44697	-0.1777734	FAM102B	family with sequence similarity 102 member B
ILMN_2380779	0.7587	8.42e-02	-1.9076831	-4.44698	-0.1500822	DLGAP1	DLG associated protein 1
ILMN_1722377	0.7587	8.42e-02	1.907566	-4.44714	0.18373583		
ILMN_1800130	0.7587	8.42e-02	1.9073759	-4.44742	0.23348651	ETNK2	ethanolamine kinase 2
ILMN_1861652	0.7587	8.42e-02	-1.9073565	-4.44745	-0.16416056		
ILMN_1725696	0.7587	8.43e-02	-1.9072971	-4.44753	-0.16214494	ATXN3	ataxin 3
ILMN_1889527	0.7587	8.43e-02	1.9072514	-4.4476	0.1579909		
ILMN_1761858	0.7587	8.43e-02	-1.9072221	-4.44764	-0.2291669	MID1	midline 1
ILMN_1696684	0.7587	8.43e-02	1.9071518	-4.44774	0.18845421	FAM90A1	family with sequence similarity 90 member A1
ILMN_2394561	0.7587	8.43e-02	1.9068445	-4.44818	0.17222463	IRF2BP2	interferon regulatory factor 2 binding protein 2
ILMN_1755737	0.7587	8.43e-02	1.9068239	-4.44821	0.21100458	TRABD	TraB domain containing
ILMN_1678700	0.7587	8.43e-02	-1.9068147	-4.44823	-0.18900736		
ILMN_1685742	0.7587	8.44e-02	-1.9065689	-4.44858	-0.19834255	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2
ILMN_1870025	0.7587	8.44e-02	1.906558	-4.4486	0.16713157		
ILMN_2176502	0.7587	8.44e-02	1.9063827	-4.44885	0.1816784	UNC5B	unc-5 netrin receptor B
ILMN_1727233	0.7587	8.44e-02	-1.906259	-4.44903	-0.18767358		
ILMN_1775566	0.7587	8.44e-02	1.9061465	-4.44919	0.2119497	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
ILMN_2413084	0.7587	8.45e-02	-1.905814	-4.44967	-0.22375852	HSPA8	heat shock protein family A (Hsp70) member 8
ILMN_2162367	0.7587	8.45e-02	1.9057996	-4.44969	0.30632769	DMC1	DNA meiotic recombinase 1
ILMN_1655622	0.7587	8.45e-02	-1.905749	-4.44976	-0.18979204	THAP12	THAP domain containing 12
ILMN_2238640	0.7587	8.45e-02	1.9056974	-4.44983	0.16500608	RFX3	regulatory factor X3
ILMN_1781795	0.7587	8.45e-02	-1.9056008	-4.44997	-0.17098841	ERH	enhancer of rudimentary homolog (Drosophila)
ILMN_1666939	0.7587	8.45e-02	1.9055254	-4.45008	0.25117869	MEI1	meiotic double-stranded break formation protein 1
ILMN_2361862	0.7587	8.46e-02	-1.9050205	-4.45081	-0.19835206	VLDLR	very low density lipoprotein receptor
ILMN_1670352	0.7587	8.46e-02	1.9047228	-4.45124	0.17402721		
ILMN_1824589	0.7587	8.46e-02	-1.9046846	-4.45129	-0.174081		
ILMN_1722309	0.7587	8.46e-02	1.904641	-4.45135	0.15023785	ENDOG	endonuclease G
ILMN_2359159	0.7587	8.46e-02	1.904621	-4.45138	0.17017524	DSC3	desmocollin 3
ILMN_1897890	0.7587	8.47e-02	-1.9043149	-4.45182	-0.15266791	PACRG-AS2	PACRG antisense RNA 2
ILMN_1692342	0.7587	8.47e-02	1.904274	-4.45188	0.1751686	CDC42BPG	CDC42 binding protein kinase gamma
ILMN_1896630	0.7587	8.47e-02	-1.904243	-4.45193	-0.16378742		
ILMN_1873116	0.7587	8.47e-02	-1.9042089	-4.45197	-0.15772807		
ILMN_1703346	0.7587	8.47e-02	-1.9041929	-4.452	-0.17737361	CHRNE	cholinergic receptor nicotinic epsilon subunit
ILMN_1750624	0.7587	8.48e-02	1.9037554	-4.45263	0.17285511	RXRG	retinoid X receptor gamma
ILMN_2138249	0.7587	8.48e-02	-1.9036023	-4.45285	-0.14759065	PRSS45	protease, serine 45
ILMN_1674817	0.7587	8.48e-02	-1.9035996	-4.45285	-0.20017673	C1orf115	chromosome 1 open reading frame 115
ILMN_1832127	0.7587	8.48e-02	-1.9035317	-4.45295	-0.18690302		
ILMN_1714536	0.7587	8.48e-02	1.9034358	-4.45309	0.21900048	SCGB1D2	secretoglobin family 1D member 2
ILMN_1704236	0.7587	8.48e-02	1.9034026	-4.45313	0.16992403	MAX	MYC associated factor X
ILMN_1762292	0.7587	8.48e-02	-1.9032491	-4.45335	-0.16475682		
ILMN_1810977	0.7587	8.48e-02	-1.9032154	-4.4534	-0.15552076	CDV3	CDV3 homolog
ILMN_1795520	0.7587	8.49e-02	1.9030602	-4.45363	0.19827993		
ILMN_1807303	0.7587	8.49e-02	-1.9030005	-4.45371	-0.16838156		
ILMN_2400874	0.7587	8.49e-02	1.9029958	-4.45372	0.28750795	SCYL1	SCY1 like pseudokinase 1
ILMN_1702247	0.7587	8.49e-02	1.9029392	-4.4538	0.18553908		
ILMN_1756131	0.7587	8.49e-02	1.9027978	-4.454	0.15259106		
ILMN_1803296	0.7587	8.49e-02	1.9027737	-4.45404	0.17643308	PCDHGB8P	protocadherin gamma subfamily B, 8 pseudogene
ILMN_2233339	0.7587	8.49e-02	-1.9025654	-4.45434	-0.1719554	MYH16	myosin heavy chain 16 pseudogene
ILMN_1651788	0.7587	8.49e-02	1.9025235	-4.4544	0.2728278	MAP3K11	mitogen-activated protein kinase kinase kinase 11
ILMN_1907535	0.7587	8.49e-02	-1.9024774	-4.45446	-0.15922718		
ILMN_2377019	0.7587	8.50e-02	1.9023886	-4.45459	0.25875433	CORO1B	coronin 1B
ILMN_1855712	0.7587	8.50e-02	-1.901719	-4.45555	-0.16619633	LINC00251	long intergenic non-protein coding RNA 251
ILMN_1913525	0.7587	8.51e-02	1.9016342	-4.45568	0.15015945		
ILMN_1754310	0.7587	8.51e-02	1.9015702	-4.45577	0.19130283		
ILMN_1666263	0.7587	8.51e-02	1.9015468	-4.4558	0.14918672		
ILMN_1888434	0.7587	8.51e-02	1.9015007	-4.45587	0.17521061		
ILMN_1840402	0.7587	8.51e-02	1.9013453	-4.45609	0.1699975		
ILMN_1827907	0.7587	8.51e-02	1.9012759	-4.45619	0.18897258		
ILMN_1687887	0.7587	8.51e-02	1.9010591	-4.4565	0.2532318	PSMC4	proteasome 26S subunit, ATPase 4
ILMN_1751980	0.7587	8.51e-02	-1.9010043	-4.45658	-0.16148859	RLBP1	retinaldehyde binding protein 1
ILMN_1914579	0.7587	8.52e-02	-1.9009609	-4.45664	-0.19867633		
ILMN_1724453	0.7587	8.52e-02	-1.9007616	-4.45693	-0.16619374		
ILMN_1772888	0.7587	8.52e-02	-1.9007261	-4.45698	-0.19635638		
ILMN_2130218	0.7587	8.52e-02	-1.9007079	-4.45701	-0.21624063	PAK3	p21 (RAC1) activated kinase 3
ILMN_2403534	0.7587	8.52e-02	1.9006865	-4.45704	0.32848455	ALOX15	arachidonate 15-lipoxygenase
ILMN_1836218	0.7587	8.52e-02	1.9006832	-4.45704	0.18864797	PP7080	uncharacterized LOC25845
ILMN_1707077	0.7587	8.52e-02	1.900587	-4.45718	0.1619422	SORT1	sortilin 1
ILMN_2357155	0.7587	8.52e-02	-1.9005842	-4.45718	-0.18862913	TPO	thyroid peroxidase
ILMN_1911287	0.7587	8.52e-02	-1.9005707	-4.4572	-0.15900795		
ILMN_1858289	0.7587	8.52e-02	-1.9005346	-4.45726	-0.17586562		
ILMN_1737653	0.7587	8.52e-02	-1.9005076	-4.45729	-0.17290173	KRT78	keratin 78
ILMN_1780292	0.7589	8.53e-02	1.9002283	-4.4577	0.18519345	MSH5	mutS homolog 5
ILMN_1736831	0.759	8.53e-02	1.8999251	-4.45813	0.17333797	PRSS33	protease, serine 33
ILMN_1746428	0.759	8.53e-02	1.8998144	-4.45829	0.2050432	RGPD1	RANBP2-like and GRIP domain containing 1
ILMN_1699011	0.759	8.53e-02	-1.8997822	-4.45834	-0.15077516		
ILMN_2314417	0.7592	8.54e-02	-1.8994741	-4.45878	-0.17331407	HYAL1	hyaluronoglucosaminidase 1
ILMN_2093427	0.7592	8.54e-02	-1.8993871	-4.4589	-0.18158225	SHF	Src homology 2 domain containing F
ILMN_2050255	0.7593	8.54e-02	1.8992352	-4.45912	0.19161417	UCKL1	uridine-cytidine kinase 1 like 1
ILMN_1821145	0.7593	8.55e-02	1.8988735	-4.45964	0.19680788		
ILMN_1773347	0.7593	8.55e-02	-1.8986813	-4.45992	-0.25962297	CARD14	caspase recruitment domain family member 14
ILMN_1709067	0.7593	8.55e-02	1.8986512	-4.45996	0.26013	SAMD11	sterile alpha motif domain containing 11
ILMN_1835905	0.7593	8.55e-02	-1.8986162	-4.46001	-0.38883308		
ILMN_2388090	0.7593	8.55e-02	1.8985331	-4.46013	0.15409323	MAPK14	mitogen-activated protein kinase 14
ILMN_1783864	0.7593	8.55e-02	-1.8984311	-4.46028	-0.19264471		
ILMN_1738347	0.7593	8.55e-02	1.8983283	-4.46043	0.22550864	RNPEP	arginyl aminopeptidase
ILMN_1801304	0.7593	8.55e-02	-1.8983256	-4.46043	-0.16721141	FAM78A	family with sequence similarity 78 member A
ILMN_1686160	0.7593	8.55e-02	-1.8982447	-4.46055	-0.1589064		
ILMN_2066116	0.7594	8.56e-02	1.898096	-4.46076	0.17560693	TTTY4	testis-specific transcript, Y-linked 4 (non-protein coding)
ILMN_1806728	0.7594	8.56e-02	-1.8978212	-4.46115	-0.19345069	TRAF3IP1	TRAF3 interacting protein 1
ILMN_1715555	0.7594	8.56e-02	1.8978074	-4.46117	0.31762296	DBP	D-box binding PAR bZIP transcription factor
ILMN_1660585	0.7594	8.56e-02	-1.8976499	-4.4614	-0.16064682	C15orf40	chromosome 15 open reading frame 40
ILMN_1841069	0.7594	8.57e-02	-1.8974293	-4.46172	-0.15260144		
ILMN_1784871	0.7594	8.57e-02	1.8973504	-4.46183	0.40265826	FASN	fatty acid synthase
ILMN_1792191	0.7594	8.57e-02	1.897307	-4.46189	0.16062158		
ILMN_1803650	0.7594	8.57e-02	-1.8972668	-4.46195	-0.15722778	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog
ILMN_1689843	0.7596	8.57e-02	1.8970246	-4.4623	0.15846435	TTTY4C	testis-specific transcript, Y-linked 4C (non-protein coding)
ILMN_1695663	0.7596	8.57e-02	-1.8968729	-4.46251	-0.17174328		
ILMN_2327812	0.7596	8.58e-02	1.8967671	-4.46267	0.17800456	IL5RA	interleukin 5 receptor subunit alpha
ILMN_2388397	0.7596	8.58e-02	-1.8967438	-4.4627	-0.17002822	LYPD1	LY6/PLAUR domain containing 1
ILMN_1818360	0.7596	8.58e-02	1.8965452	-4.46299	0.19482276		
ILMN_2126832	0.7596	8.58e-02	1.896516	-4.46303	0.23888942	SEC24A	SEC24 homolog A, COPII coat complex component
ILMN_1771643	0.7598	8.58e-02	-1.8962489	-4.46341	-0.15591816		
ILMN_1840273	0.7599	8.59e-02	-1.8960416	-4.46371	-0.17295676	STX18-AS1	STX18 antisense RNA 1 (head to head)
ILMN_1826755	0.76	8.59e-02	1.8958073	-4.46404	0.1641692		
ILMN_1692511	0.76	8.59e-02	-1.8957113	-4.46418	-0.18048953	TMEM106C	transmembrane protein 106C
ILMN_1657639	0.7602	8.59e-02	1.8954544	-4.46455	0.15570557	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3
ILMN_1795720	0.7602	8.60e-02	1.8950718	-4.4651	0.20173686		
ILMN_1671565	0.7602	8.60e-02	-1.8949635	-4.46526	-0.3395124	RNASET2	ribonuclease T2
ILMN_1882569	0.7602	8.60e-02	1.8948851	-4.46537	0.15352145	LINC01416	long intergenic non-protein coding RNA 1416
ILMN_1712912	0.7602	8.60e-02	-1.8948326	-4.46544	-0.17835412	SLC10A7	solute carrier family 10 member 7
ILMN_1712112	0.7602	8.61e-02	-1.8945762	-4.46581	-0.16687793	RCAN1	regulator of calcineurin 1
ILMN_1723004	0.7602	8.61e-02	1.8944998	-4.46592	0.1702602	CD72	CD72 molecule
ILMN_1783563	0.7602	8.61e-02	-1.8943919	-4.46608	-0.20811068	TBX19	T-box 19
ILMN_2209115	0.7602	8.61e-02	1.8943365	-4.46616	0.15856971	MAK	male germ cell associated kinase
ILMN_1905053	0.7602	8.61e-02	-1.8942994	-4.46621	-0.21390159	FAM204A	family with sequence similarity 204 member A
ILMN_1870542	0.7602	8.61e-02	1.8942413	-4.46629	0.15973423		
ILMN_2380740	0.7602	8.61e-02	-1.8941449	-4.46643	-0.22813007	MTO1	mitochondrial tRNA translation optimization 1
ILMN_1668179	0.7602	8.61e-02	-1.8941022	-4.46649	-0.18120517	HNRNPF	heterogeneous nuclear ribonucleoprotein F
ILMN_1722869	0.7602	8.61e-02	-1.8940876	-4.46651	-0.1771839	PDZD3	PDZ domain containing 3
ILMN_1860642	0.7603	8.62e-02	1.8938537	-4.46685	0.1641882		
ILMN_1678966	0.7603	8.62e-02	-1.8937363	-4.46702	-0.18261203	SNRPF	small nuclear ribonucleoprotein polypeptide F
ILMN_1654013	0.7609	8.63e-02	1.8928561	-4.46828	0.19613202	HID1	HID1 domain containing
ILMN_1688772	0.7609	8.63e-02	1.8928324	-4.46831	0.19132929		
ILMN_1873107	0.7609	8.63e-02	-1.8927231	-4.46847	-0.15201158	CEP19	centrosomal protein 19
ILMN_1824953	0.7609	8.63e-02	1.8926727	-4.46854	0.17524669		
ILMN_1786050	0.7609	8.64e-02	-1.8925149	-4.46877	-0.24672068	RBBP9	RB binding protein 9, serine hydrolase
ILMN_1876039	0.7609	8.64e-02	1.8924957	-4.4688	0.16773915	LOC102723883	uncharacterized LOC102723883
ILMN_1837344	0.7609	8.64e-02	-1.8924367	-4.46888	-0.17866008		
ILMN_2088612	0.7609	8.64e-02	-1.8923352	-4.46903	-0.19279941	XPO4	exportin 4
ILMN_1889521	0.7609	8.64e-02	1.8923027	-4.46907	0.15620244		
ILMN_1664724	0.7609	8.64e-02	1.8921933	-4.46923	0.19730065		
ILMN_2215639	0.761	8.64e-02	1.8920667	-4.46941	0.16640774	TUBA3D	tubulin alpha 3d
ILMN_1884828	0.761	8.65e-02	-1.8918904	-4.46966	-0.1716471		
ILMN_2394777	0.761	8.65e-02	-1.8915883	-4.4701	-0.23478969	DTNA	dystrobrevin alpha
ILMN_1656042	0.761	8.65e-02	1.8915659	-4.47013	0.20348748	KIAA0319L	KIAA0319 like
ILMN_2173524	0.761	8.65e-02	-1.8915145	-4.4702	-0.16630232	FOXD4	forkhead box D4
ILMN_1828895	0.761	8.65e-02	-1.8914384	-4.47031	-0.15031079		
ILMN_1865096	0.761	8.65e-02	-1.891374	-4.4704	-0.17149514	C2orf66	chromosome 2 open reading frame 66
ILMN_1771308	0.7611	8.66e-02	1.8908776	-4.47112	0.21358112	BAAT	bile acid-CoA:amino acid N-acyltransferase
ILMN_1818341	0.7611	8.66e-02	1.8908737	-4.47112	0.1604355		
ILMN_2065022	0.7611	8.66e-02	1.8908101	-4.47121	0.18420988	ARHGAP44	Rho GTPase activating protein 44
ILMN_1784036	0.7611	8.66e-02	1.8907175	-4.47135	0.3307113	CDH15	cadherin 15
ILMN_2377900	0.7611	8.66e-02	-1.8906987	-4.47137	-0.62981424		
ILMN_1805271	0.7611	8.66e-02	-1.8905554	-4.47158	-0.18687599	ZNF721	zinc finger protein 721
ILMN_1693430	0.7611	8.67e-02	-1.8904921	-4.47167	-0.22396387	NME1-NME2	NME1-NME2 readthrough
ILMN_1805999	0.7611	8.67e-02	1.8903857	-4.47182	0.22868141	MYO1D	myosin ID
ILMN_2080611	0.7611	8.67e-02	-1.8902605	-4.472	-0.25187061	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1
ILMN_1858819	0.7611	8.67e-02	1.8902335	-4.47204	0.15530922		
ILMN_1756378	0.7611	8.67e-02	1.8900855	-4.47225	0.18852952		
ILMN_1695000	0.7613	8.68e-02	1.8898319	-4.47261	0.17793592	TFIP11	tuftelin interacting protein 11
ILMN_1721017	0.7614	8.68e-02	1.8896101	-4.47293	0.16350021		
ILMN_2323302	0.7614	8.68e-02	1.8894731	-4.47313	0.24748886	SON	SON DNA binding protein
ILMN_1799280	0.7614	8.68e-02	1.8894449	-4.47317	0.23862554	BDH1	3-hydroxybutyrate dehydrogenase, type 1
ILMN_1796738	0.7614	8.68e-02	-1.8892791	-4.47341	-0.17794744	SPAST	spastin
ILMN_2222992	0.7614	8.68e-02	-1.8892543	-4.47344	-0.15174052	ETF1	eukaryotic translation termination factor 1
ILMN_1743663	0.7614	8.68e-02	1.8891523	-4.47359	0.22991941	POMT1	protein O-mannosyltransferase 1
ILMN_2357386	0.7615	8.69e-02	1.8888418	-4.47403	0.21309084	FKTN	fukutin
ILMN_1808226	0.7615	8.69e-02	1.888752	-4.47416	0.178801	RGS16	regulator of G-protein signaling 16
ILMN_2278512	0.7615	8.69e-02	1.8886967	-4.47424	0.20162773	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein
ILMN_2394975	0.7616	8.69e-02	1.8885281	-4.47448	0.16832152	OTUD4	OTU deubiquitinase 4
ILMN_1653368	0.7616	8.70e-02	-1.8883491	-4.47474	-0.15033609		
ILMN_1802162	0.7616	8.70e-02	-1.8883378	-4.47476	-0.20840044	RFESD	Rieske Fe-S domain containing
ILMN_1656951	0.7617	8.70e-02	-1.8880905	-4.47511	-0.16447055	APCDD1	APC down-regulated 1
ILMN_1738032	0.7617	8.70e-02	1.888046	-4.47517	0.15767127		
ILMN_1660837	0.7617	8.70e-02	-1.8879606	-4.4753	-0.1711845	CLCN3	chloride voltage-gated channel 3
ILMN_1797341	0.7617	8.71e-02	1.8875553	-4.47588	0.26366761	ARID1A	AT-rich interaction domain 1A
ILMN_1895825	0.7617	8.71e-02	-1.8875365	-4.4759	-0.16937446		
ILMN_1703749	0.7617	8.71e-02	-1.8874823	-4.47598	-0.15301491	OR5T3	olfactory receptor family 5 subfamily T member 3
ILMN_1662184	0.7617	8.71e-02	-1.8874634	-4.47601	-0.18104321	C5orf34	chromosome 5 open reading frame 34
ILMN_1789005	0.7617	8.71e-02	1.8873486	-4.47617	0.33435456		
ILMN_1686645	0.7619	8.71e-02	-1.8870923	-4.47654	-0.19516064	UTP14C	UTP14, small subunit processome component homolog C (S. cerevisiae)
ILMN_2161286	0.7619	8.72e-02	1.8870406	-4.47661	0.30912366	STRIP2	striatin interacting protein 2
ILMN_1802106	0.762	8.72e-02	1.8867383	-4.47705	0.20917899	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
ILMN_1860051	0.762	8.72e-02	-1.8866599	-4.47716	-0.14950497		
ILMN_1849308	0.762	8.72e-02	-1.88661	-4.47723	-0.15420472		
ILMN_1808777	0.762	8.73e-02	-1.8862674	-4.47772	-0.20124824	EHD2	EH domain containing 2
ILMN_1776905	0.762	8.73e-02	1.8862326	-4.47777	0.16658025		
ILMN_1687074	0.762	8.73e-02	1.8861798	-4.47785	0.2318141	CDC14B	cell division cycle 14B
ILMN_1735192	0.762	8.73e-02	1.8861704	-4.47786	0.27556633	COLEC11	collectin subfamily member 11
ILMN_1720437	0.762	8.73e-02	-1.8860896	-4.47798	-0.1566975		
ILMN_1889508	0.762	8.73e-02	-1.8859058	-4.47824	-0.15947917		
ILMN_1816762	0.762	8.74e-02	1.8856769	-4.47857	0.18125961	LINC01490	long intergenic non-protein coding RNA 1490
ILMN_1685289	0.762	8.74e-02	1.8855619	-4.47873	0.25173116	C16orf58	chromosome 16 open reading frame 58
ILMN_1878624	0.762	8.74e-02	-1.885545	-4.47876	-0.19502403		
ILMN_1770361	0.762	8.74e-02	1.8855274	-4.47878	0.17171262		
ILMN_1652037	0.762	8.74e-02	1.885436	-4.47891	0.22351798	UPP2	uridine phosphorylase 2
ILMN_1776146	0.7624	8.75e-02	1.8850057	-4.47953	0.17783833	RTP2	receptor transporter protein 2
ILMN_1784156	0.7624	8.75e-02	-1.8849406	-4.47962	-0.22183099	FKTN	fukutin
ILMN_1807067	0.7624	8.75e-02	1.8846364	-4.48006	0.14991744	TLDC2	TBC/LysM-associated domain containing 2
ILMN_1788410	0.7624	8.75e-02	-1.8846	-4.48011	-0.15733952	PAMR1	peptidase domain containing associated with muscle regeneration 1
ILMN_1903296	0.7624	8.75e-02	1.8844265	-4.48036	0.15223607		
ILMN_1806599	0.7624	8.75e-02	-1.8843438	-4.48047	-0.14975807		
ILMN_2401701	0.7624	8.76e-02	-1.8840746	-4.48086	-0.15404009	PCGF6	polycomb group ring finger 6
ILMN_1754266	0.7624	8.76e-02	1.8838832	-4.48113	0.1559325	LHX9	LIM homeobox 9
ILMN_1718727	0.7624	8.76e-02	-1.8837079	-4.48138	-0.16142125		
ILMN_1679217	0.7624	8.77e-02	-1.8836102	-4.48152	-0.19699039	FAM110B	family with sequence similarity 110 member B
ILMN_1780773	0.7624	8.77e-02	-1.8834585	-4.48174	-0.16399759	LINC00938	long intergenic non-protein coding RNA 938
ILMN_1768293	0.7624	8.77e-02	-1.8834017	-4.48182	-0.21963325	NUP155	nucleoporin 155
ILMN_1867361	0.7624	8.77e-02	1.8833529	-4.48189	0.18312994		
ILMN_1841999	0.7624	8.77e-02	1.8832824	-4.48199	0.17778572	LINC01255	long intergenic non-protein coding RNA 1255
ILMN_2279834	0.7624	8.77e-02	1.8831508	-4.48218	0.25080078	ZNF483	zinc finger protein 483
ILMN_1741985	0.7624	8.77e-02	-1.8829882	-4.48241	-0.25754874	BBS10	Bardet-Biedl syndrome 10
ILMN_1669096	0.7624	8.78e-02	1.8828954	-4.48255	0.16726417		
ILMN_1669659	0.7624	8.78e-02	1.8828507	-4.48261	0.17761313		
ILMN_2340908	0.7624	8.78e-02	-1.8826037	-4.48296	-0.16567746	SCML1	sex comb on midleg-like 1 (Drosophila)
ILMN_1777156	0.7624	8.78e-02	-1.8825616	-4.48302	-0.15249957	GTPBP3	GTP binding protein 3 (mitochondrial)
ILMN_1730019	0.7624	8.78e-02	1.882435	-4.48321	0.18771016		
ILMN_1851932	0.7624	8.78e-02	-1.8823333	-4.48335	-0.15938919		
ILMN_1763398	0.7624	8.79e-02	-1.882245	-4.48348	-0.17462395	CLEC17A	C-type lectin domain family 17 member A
ILMN_1901707	0.7624	8.79e-02	1.8821773	-4.48357	0.14621327		
ILMN_1674063	0.7624	8.79e-02	-1.8818123	-4.4841	-0.48736927	OAS2	2'-5'-oligoadenylate synthetase 2
ILMN_1689908	0.7624	8.79e-02	-1.8817894	-4.48413	-0.20579371	ANKRD13A	ankyrin repeat domain 13A
ILMN_1663640	0.7624	8.79e-02	1.8816419	-4.48434	0.28415439	MAOA	monoamine oxidase A
ILMN_1793570	0.7624	8.80e-02	-1.8814135	-4.48467	-0.17495987		
ILMN_1809513	0.7624	8.80e-02	1.8813493	-4.48476	0.1613938		
ILMN_2124951	0.7624	8.80e-02	1.8811337	-4.48507	0.14977412	RBMX	RNA binding motif protein, X-linked
ILMN_1792747	0.7624	8.80e-02	-1.8809527	-4.48533	-0.17683651		
ILMN_2365881	0.7624	8.81e-02	-1.880764	-4.4856	-0.21267797	ATG16L1	autophagy related 16 like 1
ILMN_1722491	0.7624	8.81e-02	1.8807078	-4.48568	0.1719321	APRT	adenine phosphoribosyltransferase
ILMN_1729563	0.7624	8.81e-02	-1.880592	-4.48584	-0.21946868	UGDH	UDP-glucose 6-dehydrogenase
ILMN_2102422	0.7624	8.81e-02	1.8804333	-4.48607	0.15880291	ABCB8	ATP binding cassette subfamily B member 8
ILMN_1811608	0.7624	8.81e-02	1.880245	-4.48634	0.17579755	BIN3-IT1	BIN3 intronic transcript 1
ILMN_1651806	0.7624	8.82e-02	1.8801336	-4.4865	0.16024321		
ILMN_1824192	0.7624	8.82e-02	-1.8800662	-4.48659	-0.16637603		
ILMN_1738828	0.7624	8.82e-02	-1.8800047	-4.48668	-0.15754616	VN1R4	vomeronasal 1 receptor 4
ILMN_1699057	0.7624	8.82e-02	1.8798409	-4.48692	0.16680213	KCNJ11	potassium voltage-gated channel subfamily J member 11
ILMN_2377385	0.7624	8.82e-02	1.8795878	-4.48728	0.1588923	SERPINA9	serpin family A member 9
ILMN_1694012	0.7624	8.83e-02	-1.8795338	-4.48736	-0.17098611	NME2	NME/NM23 nucleoside diphosphate kinase 2
